Year,Site,Habitat,Benthic Invertebrate Consumer,Browser,Brusher,Concealed Cropper,Corallivore,Cropper,Excavator,Herbivore/Detritivore,Omnivore,Piscivore,Scraper,Planktivore_exclusively,Fish Scale Consumer,Sediment Sucker,na,Unknown
2011,5,BA,2849.329999999999,83.6,5085.3,NA,1274.6299999999999,2789.4500000000003,3321.78,195.11,1284.93,349.5,4535.3099999999995,0.34,0.97,NA,NA,NA
2011,5,FO,10930.23,419.38,1050.32,364.2,413.91,4000.36,3122.2399999999993,97.89,2886.079999999999,5287,5477.3,403.3,1.51,NA,NA,NA
2011,5,FR,6723.799999999998,390.7,6120.410000000002,1554.7000000000003,2953.89,1338.1800000000003,3923.1699999999996,-1,3046.0699999999993,31305.9,1625.5200000000002,518.39,NA,NA,NA,NA
2011,6,BA,1981.0900000000004,NA,4602.89,156.69,1669.83,826.1700000000002,1740.9199999999998,126.46000000000001,1718.6,592.5400000000001,5323.49,100.3,5.28,NA,NA,NA
2011,6,FO,3535.820000000001,1343.1,2526.1,1051.78,521.1999999999999,763.8800000000001,9792.9,189.79999999999998,4854.02,17627.140000000003,18062.8,504.45,18.98,61.26,NA,NA
2011,6,FR,4437.359999999999,427.4,6264.050000000001,1672.3899999999999,9016.840000000004,424.72,3562.4200000000005,1.72,3239.19,855.38,1372.08,1957.4700000000003,NA,NA,NA,NA
2012,1,BA,4574.219999999998,354.40000000000003,4219.26,946.49,991.4399999999998,4643.649999999999,3689.9900000000002,53.68,1622.11,9595.7,1790.19,40.15,0.97,NA,NA,NA
2012,1,FO,5947.610000000005,1037.6,248.32,1979.7,534.27,3958.2,3406.2,29.439999999999998,5494.629999999997,32679.890000000007,9700.800000000001,1028.49,11.329999999999998,NA,NA,NA
2012,1,FR,2281.3800000000006,1977.59,2532.1,4782.26,1612.96,2764.0600000000004,3257.16,1.72,5553.800000000001,2629.7399999999993,2136.52,14.02,0.97,NA,NA,NA
2012,2,BA,2640.1,140.1,5988.620000000001,3626.1299999999997,893.1,2216.16,2580.75,3.66,1585.5,108.41,727.9399999999998,10.91,1.51,NA,NA,NA
